=== Extensions ablation: 9 runs ===

[1/9] RUN  double_icm seed=0

=== Run: double_icm_seed0 ===
  Double DQN:         True
  Prioritized Replay: False
  ICM (curiosity):    True
  Reward shaping:     False

  Device: cpu
  Ep   10 | R  -247.7 | Avg100  -190.3 | Eps 0.980 | Loss 2.2069 | r_int   0.16 | t=0s
  Ep   20 | R  -242.4 | Avg100  -167.6 | Eps 0.960 | Loss 2.3588 | r_int   0.44 | t=1s
  Ep   30 | R   -72.1 | Avg100  -173.3 | Eps 0.941 | Loss 1.9435 | r_int   5.26 | t=1s
  Ep   40 | R  -111.4 | Avg100  -168.3 | Eps 0.921 | Loss 1.7903 | r_int   0.98 | t=2s
  Ep   50 | R  -156.3 | Avg100  -160.1 | Eps 0.901 | Loss 2.2132 | r_int   1.58 | t=2s
  Ep   60 | R  -194.9 | Avg100  -159.1 | Eps 0.881 | Loss 1.3316 | r_int  12.32 | t=2s
  Ep   70 | R  -119.1 | Avg100  -165.9 | Eps 0.861 | Loss 1.2388 | r_int   2.57 | t=3s
  Ep   80 | R  -183.8 | Avg100  -165.4 | Eps 0.842 | Loss 1.5015 | r_int   6.68 | t=3s
  Ep   90 | R  -100.0 | Avg100  -167.7 | Eps 0.822 | Loss 1.4603 | r_int   4.54 | t=4s
  Ep  100 | R  -105.5 | Avg100  -167.9 | Eps 0.802 | Loss 1.2504 | r_int   7.67 | t=4s
  Ep  110 | R   -23.2 | Avg100  -164.2 | Eps 0.782 | Loss 1.1633 | r_int   6.97 | t=5s
  Ep  120 | R   -72.4 | Avg100  -160.9 | Eps 0.762 | Loss 1.4595 | r_int   1.79 | t=5s
  Ep  130 | R  -131.4 | Avg100  -152.6 | Eps 0.743 | Loss 1.6633 | r_int   2.97 | t=6s
  Ep  140 | R   -72.2 | Avg100  -144.2 | Eps 0.723 | Loss 0.9480 | r_int   6.65 | t=6s
  Ep  150 | R  -120.6 | Avg100  -142.5 | Eps 0.703 | Loss 1.5615 | r_int   6.23 | t=7s
  Ep  160 | R   -39.9 | Avg100  -136.9 | Eps 0.683 | Loss 1.4288 | r_int   1.96 | t=7s
  Ep  170 | R    -3.3 | Avg100  -124.5 | Eps 0.663 | Loss 1.3248 | r_int   1.48 | t=8s
  Ep  180 | R   -92.6 | Avg100  -117.3 | Eps 0.644 | Loss 1.5118 | r_int   4.05 | t=9s
  Ep  190 | R   -30.1 | Avg100  -107.5 | Eps 0.624 | Loss 1.7497 | r_int   4.33 | t=9s
  Ep  200 | R  -245.8 | Avg100   -97.7 | Eps 0.604 | Loss 1.4602 | r_int   9.48 | t=10s
  Ep  210 | R   -81.8 | Avg100   -88.9 | Eps 0.584 | Loss 1.4907 | r_int   4.72 | t=11s
