episode,reward,moving_avg_100,epsilon,loss,steps,intrinsic_sum,shaping_sum,icm_loss
1,-246.69459897776235,-246.69459897776235,0.99802,0.8990580121676127,120,1.5344967609271407,0.0,1.1044710874557495
2,-191.1439312464292,-218.9192651120958,0.99604,1.5299242345186381,107,0.1391632971353829,0.0,1.101372439127702
3,-131.1627115031215,-189.66708057577102,0.99406,1.2511432060488947,106,0.56364825530909,0.0,1.1008053046685677
4,-132.12963117257164,-175.28271822497118,0.9920800000000001,1.256086019533021,111,0.3058121400536038,0.0,1.0953961610794067
5,-100.80925214439905,-160.38802500885674,0.9901000000000001,1.9401185512542725,77,0.25040003727190197,0.0,1.0925854444503784
6,-111.25246935693418,-152.1987657335363,0.9881200000000001,1.3494403292151058,69,0.33806774599361233,0.0,1.0843530051848467
7,-429.36944746329925,-191.79457740921674,0.9861400000000001,1.7059098064899445,99,0.1898288871452678,0.0,1.0816724729537963
8,-419.63597511788925,-220.2747521228008,0.9841600000000001,2.0086008043124757,116,0.06721744639798999,0.0,1.081411464460965
9,-202.66168324569537,-218.3177444697891,0.9821800000000002,1.8305273838341236,65,1.4235317503771512,0.0,1.0748694464564323
10,-190.66877460411195,-215.55284748322137,0.9802000000000002,1.528285692135493,72,0.7574847075302387,0.0,1.0623746713002522
11,-106.51952432834577,-205.64072719641447,0.9782200000000002,1.5107272321527654,87,0.2628311131702503,0.0,1.0608396042477002
12,-196.64995870966928,-204.8914964891857,0.9762400000000002,1.881631691455841,102,0.6189431142774993,0.0,1.0271983075141906
13,-227.50721676651725,-206.63116727974966,0.9742600000000002,2.1942572555234356,123,0.646469636427355,0.0,0.9709880352020264
14,-49.007331645911194,-195.3723218773326,0.9722800000000003,1.6089745107151212,85,3.266410739714047,0.0,0.8771074726468041
15,-206.18199706852408,-196.0929668900787,0.9703000000000003,1.8186225868188417,104,5.903400804381818,0.0,0.8413505668823535
16,-97.82104190935624,-189.9509715787836,0.9683200000000003,1.495465524494648,94,1.7657947854313534,0.0,0.7603381325801214
17,-76.614833762659,-183.28413994254097,0.9663400000000003,2.0622188099052594,92,0.24169416780932806,0.0,0.891471917214601
18,-113.29957760103683,-179.3961087013463,0.9643600000000003,1.8073012292385102,80,1.844059498718707,0.0,0.7560791403055191
19,-139.26229087481693,-177.28380249995,0.9623800000000003,1.5456750586628913,79,1.6714054873591522,0.0,0.686623802781105
20,-99.3577943855063,-173.38750209422784,0.9604000000000004,1.476261573679307,69,4.072758933194564,0.0,0.748839886749492
21,-109.98078835129029,-170.36813477313558,0.9584200000000004,1.553845424862469,67,0.19732941783149727,0.0,0.7413996983976925
22,-145.58606997977265,-169.24167728252817,0.9564400000000004,1.846555455077079,125,0.770881092743366,0.0,0.5988297798941212
23,-91.53162816875208,-165.86297949497268,0.9544600000000004,1.534934515754382,71,6.575364029064076,0.0,0.7691688918405108
24,-108.8012888438601,-163.48540905117633,0.9524800000000004,1.7092059135437012,80,7.894918655074434,0.0,0.5904081925749779
